step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
29,PAYMENT,75853.29,C1000034,53309.64,53309.64,M2000034,148741.51,224594.8,0,0
12,DEBIT,60623.24,C1000035,172790.44,112167.2,C3000035,576789.71,637412.95,0,0
25,TRANSFER,91923.27,C1000036,74192.69,74192.69,C3000036,739411.46,831334.73,0,0
17,CASH_OUT,163610.9,C1000037,318020.18,154409.28,C3000037,76251.56,239862.46,0,0
27,PAYMENT,185991.36,C1000038,474747.72,288756.36,M2000038,920764.81,1106756.17,0,0
27,CASH_OUT,109062.17,C1000039,498366.89,389304.72,C3000039,973607.65,1082669.82,0,0
10,PAYMENT,132327.09,C1000040,187620.57,55293.48,M2000040,605950.17,738277.26,0,0
28,DEBIT,180664.4,C1000041,299506.32,118841.92,C3000041,481243.46,661907.86,0,0
28,DEBIT,19799.52,C1000042,428133.83,408334.31,C3000042,741394.97,761194.49,0,0
16,CASH_IN,46492.51,C1000043,58731.04,12238.53,C3000043,328357.35,374849.86,0,0
15,CASH_OUT,141809.11,C1000044,344782.21,202973.1,C3000044,493264.43,635073.54,0,0
30,PAYMENT,164766.52,C1000045,204421.83,39655.31,M2000045,916151.03,1080917.55,0,0
30,DEBIT,171420.1,C1000046,103073.08,103073.08,C3000046,955655.43,1127075.53,0,0
15,TRANSFER,83079.92,C1000047,201376.81,118296.89,C3000047,927069.12,1010149.04,0,0
30,DEBIT,17959.05,C1000048,37980.14,20021.09,C3000048,262448.07,280407.12,0,0
19,TRANSFER,87612.52,C1000049,347703.57,260091.05,C3000049,232469.04,320081.56,0,0
12,PAYMENT,46223.84,C1000050,126371.33,80147.49,M2000050,297664.51,343888.35,0,0
23,DEBIT,58310.17,C1000051,155702.82,97392.65,C3000051,441311.11,499621.28,0,0
20,DEBIT,154476.28,C1000052,60540.65,60540.65,C3000052,314167.41,468643.69,0,0
25,PAYMENT,15197.86,C1000053,432329.56,417131.7,M2000053,374212.8,389410.66,0,0
3,DEBIT,165533.49,C1000054,246722.14,81188.65,C3000054,620636.95,786170.44,0,0
5,TRANSFER,85591.05,C1000055,286073.44,200482.39,C3000055,762525.68,848116.73,0,0
19,DEBIT,119253.18,C1000056,284716.34,165463.16,C3000056,735558.2,854811.38,0,0
7,CASH_OUT,18021.48,C1000057,205246.56,187225.08,C3000057,814423.57,832445.05,0,0
21,CASH_IN,67538.08,C1000058,96264.96,28726.88,C3000058,32184.4,99722.48,0,0
9,TRANSFER,18031.21,C1000059,372566.37,354535.16,C3000059,47733.79,65765.0,0,0
7,CASH_OUT,192312.59,C1000060,63528.13,63528.13,C3000060,789382.96,981695.55,1,1
18,PAYMENT,161471.6,C1000061,51936.9,51936.9,M2000061,533078.82,694550.42,0,0
4,TRANSFER,91980.59,C1000062,355072.52,263091.93,C3000062,578140.67,670121.26,0,0
25,CASH_IN,44798.15,C1000063,104418.51,59620.36,C3000063,52586.86,97385.01,0,0
28,CASH_IN,186697.68,C1000064,153386.38,153386.38,C3000064,255313.8,442011.48,0,0
14,PAYMENT,68984.86,C1000065,237613.73,168628.87,M2000065,638354.3,707339.16,0,0
18,PAYMENT,32280.79,C1000066,224675.66,192394.87,M2000066,859181.89,891462.68,0,0
26,TRANSFER,112676.56,C1000067,354289.56,241613.0,C3000067,916983.4,1029659.96,0,0
9,DEBIT,188760.45,C1000068,311715.9,122955.45,C3000068,500419.5,689179.95,0,0
26,PAYMENT,865.68,C1000069,322198.08,321332.4,M2000069,545474.23,546339.91,0,0
21,DEBIT,47701.16,C1000070,357027.17,309326.01,C3000070,833049.63,880750.79,0,0
2,CASH_OUT,187695.68,C1000071,146306.36,146306.36,C3000071,537624.6,725320.28,1,0
20,CASH_IN,34300.08,C1000072,161166.66,126866.58,C3000072,516858.53,551158.61,0,0
28,DEBIT,22737.37,C1000073,218998.87,196261.5,C3000073,905084.04,927821.41,0,0
15,CASH_IN,114080.42,C1000074,153731.09,39650.67,C3000074,789932.72,904013.14,0,0
28,DEBIT,172382.58,C1000075,492468.93,320086.35,C3000075,909072.53,1081455.11,0,0
7,CASH_OUT,95474.25,C1000076,407025.96,311551.71,C3000076,218247.05,313721.3,0,0
12,PAYMENT,198913.39,C1000077,82327.34,82327.34,M2000077,524375.49,723288.88,0,1
29,CASH_OUT,135866.42,C1000078,2797.08,2797.08,C3000078,842472.13,978338.55,0,0
8,PAYMENT,14907.57,C1000079,21391.63,6484.06,M2000079,111147.83,126055.4,0,0
15,PAYMENT,198567.14,C1000080,122031.73,122031.73,M2000080,794662.15,993229.29,0,1
3,CASH_IN,81638.06,C1000081,57145.64,57145.64,C3000081,182973.38,264611.44,0,0
14,CASH_OUT,57551.77,C1000082,266669.06,209117.29,C3000082,808118.75,865670.52,0,0
17,DEBIT,111620.05,C1000083,428997.61,317377.56,C3000083,612000.94,723620.99,0,0
4,CASH_OUT,60931.09,C1000084,368375.11,307444.02,C3000084,193235.99,254167.08,0,0
18,CASH_IN,17382.86,C1000085,107804.53,90421.67,C3000085,473354.18,490737.04,0,0
8,PAYMENT,385.53,C1000086,199649.63,199264.1,M2000086,681905.17,682290.7,0,0
4,CASH_IN,89971.71,C1000087,253947.1,163975.39,C3000087,633852.9,723824.61,0,0
2,TRANSFER,167389.0,C1000088,405102.92,237713.92,C3000088,427247.2,594636.2,1,0
30,TRANSFER,114505.81,C1000089,419560.8,305054.99,C3000089,899366.53,1013872.34,0,0
6,DEBIT,199841.54,C1000090,454859.16,255017.62,C3000090,519263.41,719104.95,0,1
22,CASH_IN,57440.64,C1000091,254622.63,197181.99,C3000091,505867.3,563307.94,0,0
10,DEBIT,56162.97,C1000092,347137.37,290974.4,C3000092,62250.59,118413.56,0,0
4,DEBIT,32033.92,C1000093,55900.19,23866.27,C3000093,922120.39,954154.31,0,0
22,TRANSFER,32896.31,C1000094,282644.48,249748.17,C3000094,177116.57,210012.88,0,0
29,DEBIT,57108.8,C1000095,124345.9,67237.1,C3000095,528344.69,585453.49,0,0
18,TRANSFER,158588.73,C1000096,215858.44,57269.71,C3000096,803567.6,962156.33,1,0
26,PAYMENT,181160.78,C1000097,317025.25,135864.47,M2000097,215453.28,396614.06,0,0
12,CASH_IN,195019.93,C1000098,128492.97,128492.97,C3000098,527373.29,722393.22,0,1
2,DEBIT,46534.7,C1000099,26092.53,26092.53,C3000099,240684.91,287219.61,0,0
10,TRANSFER,176271.38,C1000100,5116.93,5116.93,C3000100,759695.0,935966.38,0,0
30,CASH_OUT,65718.19,C1000101,11079.77,11079.77,C3000101,564341.17,630059.36,0,0
4,DEBIT,22656.82,C1000102,4174.87,4174.87,C3000102,855975.86,878632.68,0,0
14,PAYMENT,174017.98,C1000103,55177.53,55177.53,M2000103,894558.0,1068575.98,0,0
16,PAYMENT,127257.52,C1000104,119744.36,119744.36,M2000104,648733.48,775991.0,0,0
15,CASH_OUT,33029.71,C1000105,110610.76,77581.05,C3000105,725391.25,758420.96,0,0
8,TRANSFER,86023.27,C1000106,493398.3,407375.03,C3000106,549220.1,635243.37,0,0
14,DEBIT,57522.81,C1000107,153003.05,95480.24,C3000107,384428.73,441951.54,0,0
23,TRANSFER,147385.23,C1000108,63710.39,63710.39,C3000108,648117.92,795503.15,0,0
28,PAYMENT,90737.9,C1000109,272781.27,182043.37,M2000109,908288.62,999026.52,0,0
25,TRANSFER,197857.06,C1000110,428978.73,231121.67,C3000110,416680.38,614537.44,0,1
30,PAYMENT,11043.52,C1000111,339030.19,327986.67,M2000111,314410.03,325453.55,0,0
8,TRANSFER,71067.55,C1000112,148041.04,76973.49,C3000112,388436.94,459504.49,0,0
21,CASH_OUT,96431.84,C1000113,280808.08,184376.24,C3000113,435397.63,531829.47,0,0
16,CASH_IN,100676.4,C1000114,357427.99,256751.59,C3000114,73561.03,174237.43,0,0
13,CASH_OUT,63255.57,C1000115,364052.25,300796.68,C3000115,498441.84,561697.41,0,0
18,CASH_OUT,145875.13,C1000116,333269.23,187394.1,C3000116,494314.25,640189.38,0,0
15,CASH_IN,174961.94,C1000117,435405.21,260443.27,C3000117,588443.83,763405.77,0,0
21,CASH_IN,187749.99,C1000118,435052.73,247302.74,C3000118,362820.03,550570.02,0,0
24,DEBIT,161038.17,C1000119,289468.28,128430.11,C3000119,613107.6,774145.77,0,0
26,DEBIT,170130.98,C1000120,214928.18,44797.2,C3000120,878216.31,1048347.29,0,0
25,CASH_OUT,110154.01,C1000121,320785.15,210631.14,C3000121,955470.99,1065625.0,0,0
28,CASH_OUT,165195.06,C1000122,409106.0,243910.94,C3000122,583612.22,748807.28,0,0
28,PAYMENT,60770.43,C1000123,2826.05,2826.05,M2000123,42590.95,103361.38,0,0
28,PAYMENT,79755.9,C1000124,495998.5,416242.6,M2000124,969236.0,1048991.9,0,0
13,DEBIT,63450.91,C1000125,91446.89,27995.98,C3000125,705862.06,769312.97,0,0
9,DEBIT,93530.73,C1000126,235124.49,141593.76,C3000126,335963.65,429494.38,0,0
29,PAYMENT,57187.37,C1000127,436014.87,378827.5,M2000127,147157.7,204345.07,0,0
15,PAYMENT,192326.13,C1000128,112520.2,112520.2,M2000128,143418.61,335744.74,0,1
13,TRANSFER,62637.64,C1000129,238397.61,175759.97,C3000129,167744.41,230382.05,0,0
1,TRANSFER,19699.1,C1000130,66291.09,46591.99,C3000130,45572.52,65271.62,0,0
25,PAYMENT,105410.75,C1000131,197538.16,92127.41,M2000131,902154.19,1007564.94,0,0
7,TRANSFER,11514.11,C1000132,88567.73,77053.62,C3000132,540768.23,552282.34,0,0
9,CASH_IN,22197.58,C1000133,181813.87,159616.29,C3000133,699959.41,722156.99,0,0
24,DEBIT,43955.94,C1000134,186732.11,142776.17,C3000134,828108.51,872064.45,0,0
1,DEBIT,92923.61,C1000135,496585.39,403661.78,C3000135,791541.01,884464.62,0,0
12,PAYMENT,86706.86,C1000136,497406.51,410699.65,M2000136,882605.62,969312.48,0,0
8,CASH_OUT,159958.4,C1000137,57393.14,57393.14,C3000137,967254.62,1127213.02,0,0
24,PAYMENT,147920.98,C1000138,362984.39,215063.41,M2000138,439070.61,586991.59,0,0
11,TRANSFER,85321.03,C1000139,25872.74,25872.74,C3000139,950335.47,1035656.5,0,0
19,CASH_OUT,66807.47,C1000140,15096.01,15096.01,C3000140,723289.95,790097.42,0,0
17,TRANSFER,63362.11,C1000141,52666.95,52666.95,C3000141,70668.19,134030.3,0,0
8,CASH_IN,154821.62,C1000142,482742.83,327921.21,C3000142,681783.12,836604.74,0,0
3,TRANSFER,10509.27,C1000143,470431.77,459922.5,C3000143,686716.66,697225.93,0,0
3,CASH_IN,2663.05,C1000144,96963.91,94300.86,C3000144,905860.56,908523.61,0,0
1,CASH_IN,159129.32,C1000145,80836.17,80836.17,C3000145,372932.13,532061.45,0,0
27,TRANSFER,95481.56,C1000146,120267.54,24785.98,C3000146,584911.5,680393.06,0,0
5,TRANSFER,26263.14,C1000147,257773.5,231510.36,C3000147,12187.55,38450.69,0,0
10,CASH_IN,47189.63,C1000148,284852.32,237662.69,C3000148,332075.24,379264.87,0,0
7,CASH_OUT,186507.54,C1000149,110796.72,110796.72,C3000149,62243.73,248751.27,1,0
26,CASH_IN,171914.64,C1000150,378311.39,206396.75,C3000150,521872.97,693787.61,0,0
9,DEBIT,141986.03,C1000151,154776.58,12790.55,C3000151,817447.65,959433.68,0,0
28,CASH_IN,96496.82,C1000152,461065.66,364568.84,C3000152,206442.69,302939.51,0,0
7,CASH_OUT,104112.69,C1000153,328361.35,224248.66,C3000153,527441.05,631553.74,0,0
9,DEBIT,195051.38,C1000154,218175.6,23124.22,C3000154,204008.64,399060.02,0,1
8,PAYMENT,193157.51,C1000155,394956.0,201798.49,M2000155,120688.47,313845.98,0,1
12,PAYMENT,43132.28,C1000156,408957.31,365825.03,M2000156,510996.79,554129.07,0,0
2,CASH_OUT,162239.8,C1000157,145240.8,145240.8,C3000157,79148.62,241388.42,1,0
1,CASH_IN,39528.81,C1000158,169857.27,130328.46,C3000158,587354.63,626883.44,0,0
16,TRANSFER,42786.14,C1000159,467977.58,425191.44,C3000159,31337.46,74123.6,0,0
23,CASH_OUT,135251.0,C1000160,82370.52,82370.52,C3000160,106714.97,241965.97,0,0
23,DEBIT,81059.72,C1000161,21075.21,21075.21,C3000161,549997.49,631057.21,0,0
30,DEBIT,186315.73,C1000162,227027.66,40711.93,C3000162,591407.41,777723.14,0,0
24,PAYMENT,17893.05,C1000163,400604.95,382711.9,M2000163,28986.93,46879.98,0,0
5,DEBIT,102353.98,C1000164,385834.05,283480.07,C3000164,573376.79,675730.77,0,0
3,CASH_OUT,183712.45,C1000165,459765.31,276052.86,C3000165,838502.53,1022214.98,1,0
12,DEBIT,180832.32,C1000166,266600.33,85768.01,C3000166,722316.18,903148.5,0,0
8,CASH_OUT,31390.19,C1000167,50032.34,18642.15,C3000167,131185.1,162575.29,0,0
22,TRANSFER,73390.88,C1000168,294344.49,220953.61,C3000168,592474.65,665865.53,0,0
27,PAYMENT,123862.37,C1000169,389197.81,265335.44,M2000169,672252.5,796114.87,0,0
3,DEBIT,31963.04,C1000170,46664.06,14701.02,C3000170,37231.2,69194.24,0,0
1,CASH_OUT,193607.63,C1000171,86328.7,86328.7,C3000171,855347.67,1048955.3,1,1
3,CASH_IN,182958.39,C1000172,6145.33,6145.33,C3000172,906267.4,1089225.79,0,0
5,PAYMENT,33473.34,C1000173,296826.29,263352.95,M2000173,850452.27,883925.61,0,0
15,TRANSFER,24318.98,C1000174,443367.2,419048.22,C3000174,824631.47,848950.45,0,0
14,CASH_OUT,17173.16,C1000175,335331.66,318158.5,C3000175,744965.2,762138.36,0,0
3,TRANSFER,181897.79,C1000176,491020.04,309122.25,C3000176,633432.03,815329.82,1,0
1,TRANSFER,38805.4,C1000177,31516.83,31516.83,C3000177,678627.0,717432.4,0,0
5,DEBIT,83315.36,C1000178,451500.54,368185.18,C3000178,806395.29,889710.65,0,0
26,DEBIT,89825.39,C1000179,407034.14,317208.75,C3000179,662498.46,752323.85,0,0
23,CASH_OUT,119842.31,C1000180,157120.76,37278.45,C3000180,327726.96,447569.27,0,0
14,CASH_IN,14439.9,C1000181,486763.28,472323.38,C3000181,375961.1,390401.0,0,0
7,CASH_OUT,45429.05,C1000182,143968.87,98539.82,C3000182,897057.47,942486.52,0,0
27,CASH_IN,186304.93,C1000183,444652.36,258347.43,C3000183,17122.09,203427.02,0,0
9,TRANSFER,181691.18,C1000184,440374.29,258683.11,C3000184,698820.58,880511.76,0,0
15,PAYMENT,156280.0,C1000185,378828.81,222548.81,M2000185,954777.55,1111057.55,0,0
15,CASH_OUT,3978.31,C1000186,281735.24,277756.93,C3000186,706228.17,710206.48,0,0
26,CASH_OUT,65468.65,C1000187,60001.37,60001.37,C3000187,993911.99,1059380.64,0,0
10,CASH_IN,125628.95,C1000188,265985.87,140356.92,C3000188,687544.91,813173.86,0,0
28,TRANSFER,55110.52,C1000189,178398.13,123287.61,C3000189,34363.03,89473.55,0,0
13,TRANSFER,181926.38,C1000190,396108.52,214182.14,C3000190,827009.88,1008936.26,1,0
19,CASH_IN,126814.5,C1000191,379064.6,252250.1,C3000191,284629.91,411444.41,0,0
7,TRANSFER,14474.15,C1000192,455306.25,440832.1,C3000192,446057.23,460531.38,0,0
17,DEBIT,181810.22,C1000193,7415.08,7415.08,C3000193,312091.92,493902.14,0,0
20,PAYMENT,191557.55,C1000194,404551.61,212994.06,M2000194,268554.11,460111.66,0,1
29,CASH_OUT,15634.71,C1000195,469231.03,453596.32,C3000195,431405.7,447040.41,0,0
4,PAYMENT,106518.81,C1000196,394650.22,288131.41,M2000196,378751.45,485270.26,0,0
30,CASH_OUT,60742.52,C1000197,65097.23,4354.71,C3000197,633338.58,694081.1,0,0
5,DEBIT,78628.53,C1000198,40639.55,40639.55,C3000198,813151.2,891779.73,0,0
23,TRANSFER,36012.28,C1000199,10422.62,10422.62,C3000199,297088.65,333100.93,0,0
7,CASH_IN,115656.61,C1000200,314372.61,198716.0,C3000200,213721.15,329377.76,0,0
13,DEBIT,191600.07,C1000201,314836.33,123236.26,C3000201,666895.27,858495.34,0,1
15,PAYMENT,100664.21,C1000202,493456.86,392792.65,M2000202,670320.07,770984.28,0,0
11,CASH_IN,16674.62,C1000203,199021.59,182346.97,C3000203,901131.24,917805.86,0,0
29,TRANSFER,124038.27,C1000204,165953.14,41914.87,C3000204,15945.69,139983.96,0,0
4,DEBIT,68110.58,C1000205,312212.46,244101.88,C3000205,853040.66,921151.24,0,0
13,CASH_IN,171199.45,C1000206,412804.34,241604.89,C3000206,521002.17,692201.62,0,0
7,DEBIT,86992.16,C1000207,468386.97,381394.81,C3000207,621302.09,708294.25,0,0
27,DEBIT,38648.64,C1000208,401562.08,362913.44,C3000208,91371.44,130020.08,0,0
19,TRANSFER,38302.01,C1000209,213336.99,175034.98,C3000209,432614.93,470916.94,0,0
22,CASH_OUT,153775.96,C1000210,317457.12,163681.16,C3000210,227302.41,381078.37,0,0
28,CASH_IN,53190.96,C1000211,428149.66,374958.7,C3000211,254225.03,307415.99,0,0
2,TRANSFER,153469.96,C1000212,245304.84,91834.88,C3000212,504095.11,657565.07,0,0
10,DEBIT,41256.87,C1000213,108343.32,67086.45,C3000213,812455.95,853712.82,0,0
13,TRANSFER,64405.11,C1000214,84861.72,20456.61,C3000214,743780.93,808186.04,0,0
30,CASH_OUT,93150.85,C1000215,78.87,78.87,C3000215,590999.96,684150.81,0,0
25,CASH_IN,188644.85,C1000216,359119.0,170474.15,C3000216,539418.19,728063.04,0,0
21,CASH_OUT,186353.11,C1000217,55548.6,55548.6,C3000217,427306.04,613659.15,1,0
6,PAYMENT,41453.69,C1000218,121919.55,80465.86,M2000218,972709.97,1014163.66,0,0
28,CASH_IN,71707.99,C1000219,148938.17,77230.18,C3000219,560192.55,631900.54,0,0
28,CASH_OUT,29964.94,C1000220,280189.93,250224.99,C3000220,253966.4,283931.34,0,0
12,DEBIT,102046.02,C1000221,198978.64,96932.62,C3000221,230090.79,332136.81,0,0
12,CASH_IN,92170.45,C1000222,337337.0,245166.55,C3000222,611353.03,703523.48,0,0
20,CASH_IN,180161.96,C1000223,27819.33,27819.33,C3000223,522827.53,702989.49,0,0
30,TRANSFER,186008.08,C1000224,61969.6,61969.6,C3000224,7697.8,193705.88,0,0
30,DEBIT,76775.12,C1000225,249605.75,172830.63,C3000225,830065.37,906840.49,0,0
11,PAYMENT,98398.41,C1000226,168482.39,70083.98,M2000226,704122.35,802520.76,0,0
26,CASH_OUT,179257.63,C1000227,147906.68,147906.68,C3000227,661829.29,841086.92,1,0
23,TRANSFER,161360.89,C1000228,33514.04,33514.04,C3000228,68780.66,230141.55,1,0
28,CASH_OUT,830.9,C1000229,447859.59,447028.69,C3000229,362055.85,362886.75,0,0
25,PAYMENT,64079.91,C1000230,345909.29,281829.38,M2000230,935382.26,999462.17,0,0
7,PAYMENT,84412.67,C1000231,60809.08,60809.08,M2000231,862589.24,947001.91,0,0
30,CASH_IN,46020.29,C1000232,32522.98,32522.98,C3000232,285542.94,331563.23,0,0
1,PAYMENT,39994.37,C1000233,487436.27,447441.9,M2000233,157058.88,197053.25,0,0
1,CASH_OUT,7653.12,C1000234,340586.28,332933.16,C3000234,449087.96,456741.08,0,0
25,DEBIT,128709.61,C1000235,208728.04,80018.43,C3000235,355830.38,484539.99,0,0
27,DEBIT,52575.81,C1000236,350865.52,298289.71,C3000236,682226.38,734802.19,0,0
30,CASH_IN,10564.2,C1000237,378165.89,367601.69,C3000237,966434.81,976999.01,0,0
25,CASH_OUT,46272.76,C1000238,389981.1,343708.34,C3000238,363001.45,409274.21,0,0
20,CASH_OUT,160402.6,C1000239,238938.65,78536.05,C3000239,62224.17,222626.77,0,0
13,PAYMENT,170312.69,C1000240,214941.38,44628.69,M2000240,897614.01,1067926.7,0,0
9,CASH_OUT,96664.94,C1000241,5514.04,5514.04,C3000241,37949.73,134614.67,0,0
3,TRANSFER,83272.53,C1000242,463278.56,380006.03,C3000242,952765.9,1036038.43,0,0
7,PAYMENT,195572.95,C1000243,301653.94,106080.99,M2000243,664579.43,860152.38,0,1
6,TRANSFER,40192.88,C1000244,101576.97,61384.09,C3000244,941689.21,981882.09,0,0
8,CASH_IN,43150.32,C1000245,459801.71,416651.39,C3000245,199659.69,242810.01,0,0
27,DEBIT,58444.25,C1000246,457465.95,399021.7,C3000246,40699.8,99144.05,0,0
9,CASH_IN,34634.19,C1000247,494592.08,459957.89,C3000247,488209.98,522844.17,0,0
30,DEBIT,75935.18,C1000248,437028.28,361093.1,C3000248,450623.41,526558.59,0,0
5,CASH_IN,182175.76,C1000249,498892.19,316716.43,C3000249,331492.27,513668.03,0,0
1,CASH_OUT,123108.03,C1000250,122343.09,122343.09,C3000250,957656.47,1080764.5,0,0
19,TRANSFER,82448.12,C1000251,421124.79,338676.67,C3000251,822583.73,905031.85,0,0
10,DEBIT,186888.72,C1000252,411514.15,224625.43,C3000252,661582.02,848470.74,0,0
12,PAYMENT,9788.0,C1000253,115470.18,105682.18,M2000253,162858.29,172646.29,0,0
24,TRANSFER,42134.21,C1000254,49218.77,7084.56,C3000254,734323.41,776457.62,0,0
15,PAYMENT,113221.13,C1000255,489710.26,376489.13,M2000255,727012.45,840233.58,0,0
27,TRANSFER,123148.97,C1000256,148012.28,24863.31,C3000256,425068.17,548217.14,0,0
22,TRANSFER,8007.55,C1000257,435445.9,427438.35,C3000257,924785.91,932793.46,0,0
24,CASH_IN,80667.45,C1000258,2063.58,2063.58,C3000258,166977.88,247645.33,0,0
9,DEBIT,129865.88,C1000259,10512.4,10512.4,C3000259,267337.56,397203.44,0,0
20,DEBIT,139644.3,C1000260,232935.65,93291.35,C3000260,63224.34,202868.64,0,0
17,TRANSFER,127664.17,C1000261,119357.34,119357.34,C3000261,795450.96,923115.13,0,0
30,CASH_OUT,64180.59,C1000262,344920.64,280740.05,C3000262,621759.39,685939.98,0,0
17,CASH_OUT,18794.67,C1000263,282782.16,263987.49,C3000263,314940.31,333734.98,0,0
26,PAYMENT,85479.78,C1000264,38742.9,38742.9,M2000264,163813.66,249293.44,0,0
20,PAYMENT,25838.01,C1000265,81314.15,55476.14,M2000265,40147.77,65985.78,0,0
12,CASH_IN,189529.97,C1000266,194024.64,4494.67,C3000266,166745.57,356275.54,0,0
30,TRANSFER,95086.66,C1000267,92802.03,92802.03,C3000267,453284.65,548371.31,0,0
7,PAYMENT,63520.11,C1000268,396111.17,332591.06,M2000268,247176.97,310697.08,0,0
2,PAYMENT,153284.18,C1000269,208035.12,54750.94,M2000269,258982.18,412266.36,0,0
3,TRANSFER,99639.92,C1000270,46715.93,46715.93,C3000270,875576.37,975216.29,0,0
17,CASH_IN,62075.8,C1000271,242171.45,180095.65,C3000271,515137.67,577213.47,0,0
5,PAYMENT,162412.35,C1000272,45419.09,45419.09,M2000272,729251.97,891664.32,0,0
17,CASH_IN,173443.71,C1000273,64468.65,64468.65,C3000273,35710.95,209154.66,0,0
24,DEBIT,134634.33,C1000274,119804.92,119804.92,C3000274,365163.36,499797.69,0,0
17,CASH_IN,9488.19,C1000275,429763.85,420275.66,C3000275,479169.35,488657.54,0,0
27,CASH_OUT,113307.94,C1000276,462306.27,348998.33,C3000276,186416.86,299724.8,0,0
17,CASH_OUT,152682.65,C1000277,413128.86,260446.21,C3000277,120191.54,272874.19,0,0
2,CASH_IN,27386.95,C1000278,167038.61,139651.66,C3000278,870303.78,897690.73,0,0
2,CASH_OUT,45811.28,C1000279,136223.22,90411.94,C3000279,939431.63,985242.91,0,0
28,DEBIT,176510.77,C1000280,274577.85,98067.08,C3000280,78806.7,255317.47,0,0
22,TRANSFER,4122.33,C1000281,360926.58,356804.25,C3000281,349018.71,353141.04,0,0
23,CASH_OUT,150570.15,C1000282,496686.39,346116.24,C3000282,958285.63,1108855.78,1,0
5,CASH_OUT,94807.28,C1000283,65785.36,65785.36,C3000283,83161.73,177969.01,0,0
1,CASH_IN,89409.75,C1000284,24646.0,24646.0,C3000284,643641.37,733051.12,0,0
1,DEBIT,1518.6,C1000285,347177.94,345659.34,C3000285,972221.37,973739.97,0,0
19,TRANSFER,163897.71,C1000286,416112.89,252215.18,C3000286,978223.67,1142121.38,1,0
30,CASH_IN,72029.0,C1000287,423174.39,351145.39,C3000287,471223.33,543252.33,0,0
